Naziv,Zupanija,Naselje,Ulica,Postanski broj,Vrsta
"Ljekarnicka JEDINICA CENTAR - DAKOVO, LJEKARNE SRCE - LJEKARNE OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,DAKOVO,ULICA PAPE IVANA PAVLA II 26,31400,Ljekarnicka jedinica
"Ljekarnicka JEDINICA CENTAR-OSIJEK, LJEKARNE SRCE - LJEKARNE OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,OSIJEK,TRG ANTE STARCEVICA 7,31000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA CENTAR-RIVA 18 LJEKARNA ""JADRAN""",PRIMORSKO-GORANSKA ZUPANIJA,RIJEKA,RIVA 18,51000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA CERNA LJEKARNE ""STRKALJ""",VUKOVARSKO-SRIJEMSKA ZUPANIJA,CERNA,KRALJA TOMISLAVA 12,32272,Ljekarnicka jedinica
Ljekarnicka JEDINICA CERNIK LJEKARNE PERAK,BRODSKO-POSAVSKA ZUPANIJA,CERNIK,SKOLSKA 21,35404,Ljekarnicka jedinica
"Ljekarnicka JEDINICA CISTA PROVO, ""DOBRE LJEKARNE""",SPLITSKO-DALMATINSKA ZUPANIJA,CISTA PROVO,ULICA FRANJE TUDMANA 5,21256,Ljekarnicka jedinica
Ljekarnicka JEDINICA CRIKVENICA-B.BROZICEVICA LJEKARNE DELTIS PHARM,PRIMORSKO-GORANSKA ZUPANIJA,CRIKVENICA,BRACE BROZICEVIC BB,51260,Ljekarnicka jedinica
"Ljekarnicka JEDINICA CRNAC, LJEKARNE ERCEGOVIC",VIROVITICKO-PODRAVSKA ZUPANIJA,CRNAC,ZRINSKA 2,33507,Ljekarnicka jedinica
"Ljekarnicka JEDINICA CAGLIN LJEKARNE ""VESNA TOPOL""",POZESKO-SLAVONSKA ZUPANIJA,CAGLIN,KOLODVORSKA 4,34350,Ljekarnicka jedinica
Ljekarnicka JEDINICA CAKOVEC I.G. KOVACICA LJEKARNE PRIMA PHARME,MEDIMURSKA ZUPANIJA,CAKOVEC,I. G. KOVACICA 20,40000,Ljekarnicka jedinica
Ljekarnicka JEDINICA CAKOVEC LJEKARNA STEFAN,MEDIMURSKA ZUPANIJA,CAKOVEC,ULICA NIKOLE PAVICA 12,40000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA CAKOVEC, LJEKARNE VASE ZDRAVLJE",MEDIMURSKA ZUPANIJA,CAKOVEC,ULICA ZAVNOH-A 2 C,40000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA CAZMA-MILANA NOVACICA LJEKARNA ""JOUKHADAR""",BJELOVARSKO-BILOGORSKA ZUPANIJA,CAZMA,NOVACICA MILANA 83,43240,Ljekarnicka jedinica
Ljekarnicka JEDINICA CEMINAC MANDIS-PHARM LJEKARNA ZAGREB,OSJECKO-BARANJSKA ZUPANIJA,CEMINAC,ULICA HRVATSKIH BRANITELJA 2,31325,Ljekarnicka jedinica
"Ljekarnicka JEDINICA CEPIN - KRALJA ZVONIMIRA LJEKARNE ""VASE ZDRAVLJE""",OSJECKO-BARANJSKA ZUPANIJA,CEPIN,KRALJA ZVONIMIRA 5,31431,Ljekarnicka jedinica
"Ljekarnicka JEDINICA CULINECKA, LJEKARNE VASE ZDRAVLJE",GRAD ZAGREB,ZAGREB,CULINECKA CESTA 25,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA D.BUDAKA LJEKARNA ""ZEUS""",GRAD ZAGREB,ZAGREB,ULICA DIVKA BUDAKA 17,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DALJ, LJEKARNE SRCE - LJEKARNE OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,DALJ,SLAVKA KOLARA 2,31226,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DARDA, LJEKARNE SRCE - LJEKARNE OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,DARDA,ANTE STARCEVICA 27 B,31326,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DARUVAR-GAJEVA LJEKARNA ""FARMACIA""",BJELOVARSKO-BILOGORSKA ZUPANIJA,DARUVAR,LJUDEVITA GAJA 46,43500,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DARUVAR-PRERADOVICEVA LJEKARNA ""FARMACIA""",BJELOVARSKO-BILOGORSKA ZUPANIJA,DARUVAR,PETRA PRERADOVICA 6,43500,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DAVOR, LJEKARNE VERONIKA FURIC",BRODSKO-POSAVSKA ZUPANIJA,DAVOR,IVANA GUNDULICA 46,35425,Ljekarnicka jedinica
Ljekarnicka JEDINICA DELNICE GORANSKE LJEKARNE,PRIMORSKO-GORANSKA ZUPANIJA,DELNICE,SUPILOVA 45,51300,Ljekarnicka jedinica
Ljekarnicka JEDINICA DESINIC LJEKARNA KRAPINSKO-ZAGORSKE zupanije,KRAPINSKO-ZAGORSKA ZUPANIJA,DESINIC,TABORGRADSKA ULICA 8,49216,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DEZANOVAC, LJEKARNE SVALJEK",BJELOVARSKO-BILOGORSKA ZUPANIJA,DEZANOVAC,DEZANOVAC 306 A,43506,Ljekarnicka jedinica
Ljekarnicka JEDINICA DICMO LJEKARNA CORTEX PLUS,SPLITSKO-DALMATINSKA ZUPANIJA,DICMO KRAJ,DICMO KRAJ 46 B,21232,Ljekarnicka jedinica
Ljekarnicka JEDINICA DOMA ZDRAVLJA VIROVITICKO-PODRAVSKE zupanije,VIROVITICKO-PODRAVSKA ZUPANIJA,VIROVITICA,ULICA LJUDEVITA GAJA 6,33000,Ambulanta doma zdravlja dislocirana jedinica
Ljekarnicka JEDINICA DOMA ZDRAVLJA VIROVITICKO-PODRAVSKE zupanije,VIROVITICKO-PODRAVSKA ZUPANIJA,ORAHOVICA,TRG PLEMEN.MIHALOVICA 2,33515,Ambulanta doma zdravlja dislocirana jedinica
Ljekarnicka JEDINICA DOMOVINSKOG RATA LJEKARNE OLUJIC,SPLITSKO-DALMATINSKA ZUPANIJA,SPLIT,DOMOVIN.RATA 48,21000,Ljekarnicka jedinica
Ljekarnicka JEDINICA DONJA BISTRA LJEKARNE PRIMA PHARME,ZAGREBACKA ZUPANIJA,DONJA BISTRA,BISTRANSKA ULICA 1 A,10298,Ljekarnicka jedinica
Ljekarnicka JEDINICA DONJA PUSCA LJEKARNE PRIJATELJ ZDRAVLJA,ZAGREBACKA ZUPANIJA,DONJA PUSCA,KUMROVECKA CESTA 99 A,10294,Ljekarnicka jedinica
Ljekarnicka JEDINICA DONJA ZELINA LJEKARNE ZAGREBACKE zupanije,ZAGREBACKA ZUPANIJA,DONJA ZELINA,DONJOZELINSKA ULICA 109,,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DONJI GRAD - OSIJEK, LJEKARNE SRCE - LJEKARNE OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,OSIJEK,PROLAZ KOD SNJEZNE GOSPE 1 B,31000,Ljekarnicka jedinica
Ljekarnicka JEDINICA DONJI MIHOLJAC LJEKARNE LIJEK,OSJECKO-BARANJSKA ZUPANIJA,DONJI MIHOLJAC,TRG ANTE STARCEVICA 23,31540,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DONJI MIHOLJAC, LJEKARNA KOVACEVIC",OSJECKO-BARANJSKA ZUPANIJA,DONJI MIHOLJAC,VUKOVARSKA 4,31540,Ljekarnicka jedinica
Ljekarnicka JEDINICA DONJI MUC LJEKARNA CORTEX PHARM,SPLITSKO-DALMATINSKA ZUPANIJA,DONJI MUC,DONJI MUC BB,21203,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DONJI STUPNIK LJEKARNA ""FARMACIA""",ZAGREBACKA ZUPANIJA,DONJI STUPNIK,GOSPODARSKA ULICA 5,10255,Ljekarnicka jedinica
Ljekarnicka JEDINICA DONJI VIDOVEC LJEKARNA STEFAN,MEDIMURSKA ZUPANIJA,DONJI VIDOVEC,RADE KONCARA 9,40327,Ljekarnicka jedinica
Ljekarnicka JEDINICA DORE PFANOVE LJEKARNE VASE ZDRAVLJE,GRAD ZAGREB,ZAGREB,ULICA DORE PFANOVE 5,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DR.F.TUDMANA LJEKARNE ""CRNKOVIC""",SISACKO-MOSLAVACKA ZUPANIJA,PETRINJA,SAJMISTE 2,44250,Ljekarnicka jedinica
Ljekarnicka JEDINICA DRAGANIC LJEKARNE DERJANOVIC,KARLOVACKA ZUPANIJA,DRAGANIC,BUDROVCI 20,47201,Ljekarnicka jedinica
Ljekarnicka JEDINICA DRAMALJ LJEKARNA KASTEL FARM,PRIMORSKO-GORANSKA ZUPANIJA,DRAMALJ,DRAMALJSKO SELCE 32,51265,Ljekarnicka jedinica
Ljekarnicka JEDINICA DRASKOVICEVA GRADSKA LJEKARNA ZAGREB,GRAD ZAGREB,ZAGREB,DRASKOVICEVA ULICA 13,10000,Ljekarnicka jedinica
Ljekarnicka JEDINICA DRASKOVICEVA LJEKARNE HANZIC,GRAD ZAGREB,ZAGREB,DRASKOVICEVA ULICA 44,10000,Ljekarnicka jedinica
Ljekarnicka JEDINICA DRAZICE LJEKARNA PRIMA PHARME,PRIMORSKO-GORANSKA ZUPANIJA,DRAZICE,DRAZICKIH BORACA 64,51218,Ljekarnicka jedinica
Ljekarnicka JEDINICA DRNJE LJEKARNA KOPRIVNICA,KOPRIVNICKO-KRIZEVACKA ZUPANIJA,DRNJE,TRG KRALJA TOMISLAVA 4,48316,Ljekarnicka jedinica
Ljekarnicka JEDINICA DRVINJE GADSKA LJEKARNA ZAGREB,GRAD ZAGREB,ZAGREB,ULICA DRAGUTINA GOLIKA 32,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DUBEC LJEKARNE ""JAGATIC""",GRAD ZAGREB,SESVETE,TRG ANTUNA MIHANOVICA 1,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DUBRAVA VRBOVECKA, TRG SLOBODE - OPCINA DUBRAVA LJEKARNE ""JOUKHADAR""",ZAGREBACKA ZUPANIJA,DUBRAVA,TRG SLOBODE 7,10342,Ljekarnicka jedinica
Ljekarnicka JEDINICA DUBRAVICA LJEKARNE PETRINEC,ZAGREBACKA ZUPANIJA,DUBRAVICA,ULICA PAVLA STOOSA 17,10293,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DUBROVNIK, LJEKARNE CELINA",DUBROVACKO-NERETVANSKA ZUPANIJA,DUBROVNIK,VUKOVARSKA 17,20000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DUGA LJEKARNE ""KALENIC""",VUKOVARSKO-SRIJEMSKA ZUPANIJA,VINKOVCI,DUGA ULICA 33,32100,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DUGA RESA LJEKARNA ""IP PHARMA""",KARLOVACKA ZUPANIJA,DUGA RESA,TRG HRVATSKIH MUCENIKA 3,47250,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DUGA RESA LJEKARNE ""DELTIS PHARM""",KARLOVACKA ZUPANIJA,DUGA RESA,BANA JOSIPA JELACICA 31,47250,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DUGI RAT-DOCINE LJEKARNA ""DELTIS PHARM""",SPLITSKO-DALMATINSKA ZUPANIJA,DUCE,DOCINE I 53,21315,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DVOR LJEKARNE ""LIJEK""",SISACKO-MOSLAVACKA ZUPANIJA,DVOR,ULICA HRVATSKOG PROLJECA 4,44440,Ljekarnicka jedinica
"Ljekarnicka JEDINICA D.SPORERA LJEKARNE ""MAZZI""",PRIMORSKO-GORANSKA ZUPANIJA,RIJEKA,DURE SPORERA 3,51000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DAKOVSTINA-OSIJEK, LJEKARNE SRCE - LJEKARNE OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,OSIJEK,DAKOVSTINA BB,31000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DELEKOVEC LJEKARNA ""HMELINA-KOVACIC""",KOPRIVNICKO-KRIZEVACKA ZUPANIJA,DELEKOVEC,MIHOVILA P. MISKINE 39,48316,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DURDENOVAC, LJEKARNE SRCE- LJEKARNE OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,DURDENOVAC,TRG BANA JOSIPA JELACICA 4,31511,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DURDEVAC, LJEKARNA KOPRIVNICA",KOPRIVNICKO-KRIZEVACKA ZUPANIJA,DURDEVAC,LJUDEVITA GAJA 3,48350,Ljekarnicka jedinica
"Ljekarnicka JEDINICA DURMANEC LJEKARNA ""VODOLSAK""",KRAPINSKO-ZAGORSKA ZUPANIJA,DURMANEC,DURMANEC 137,49225,Ljekarnicka jedinica
"Ljekarnicka JEDINICA ERNESTINOVO, LJEKARNE SRCE - LJEKARNE OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,ERNESTINOVO,SKOLSKA 2,31215,Ljekarnicka jedinica
"Ljekarnicka JEDINICA F.BELULOVICA - RIJEKA LJEKARNE ""PABLO""",PRIMORSKO-GORANSKA ZUPANIJA,RIJEKA,FRANJE BELULOVICA 5,51000,Ljekarnicka jedinica
Ljekarnicka JEDINICA FALLEROVO SETALISTE LJEKARNA MARUSIC,GRAD ZAGREB,ZAGREB,FALLEROVO SETALISTE 44,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA FARKASEVAC LJEKARNE ""JOUKHADAR""",ZAGREBACKA ZUPANIJA,FARKASEVAC,FARKASEVAC BB,10344,Ljekarnicka jedinica
"Ljekarnicka JEDINICA FAZANA, LJEKARNA KASTEL FARM",ISTARSKA ZUPANIJA,VALBANDON,FAZANSKA CESTA-VALB. 84,52212,Ljekarnicka jedinica
Ljekarnicka JEDINICA FLORIJANSKI TRG LJEKARNA KOPRIVNICA,KOPRIVNICKO-KRIZEVACKA ZUPANIJA,KOPRIVNICA,FLORIJANSKI TRG 4,48000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA FRANKOPANSKA, LJEKARNA KOPRIVNICA",KOPRIVNICKO-KRIZEVACKA ZUPANIJA,KOPRIVNICA,ULICA FRANKOPANSKA 2,48000,Ljekarnicka jedinica
Ljekarnicka JEDINICA FRATERSCICA LJEKARNE PABLO,GRAD ZAGREB,ZAGREB,FRATERSCICA 35,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA FUNTANA-ISTARSKA LJEKARNE ""RADOS""",ISTARSKA ZUPANIJA,FUNTANA,ISTARSKA 37,52452,Ljekarnicka jedinica
"Ljekarnicka JEDINICA FUZINE, LJEKARNA ""JADRAN""",PRIMORSKO-GORANSKA ZUPANIJA,FUZINE,SVETI KRIZ 9,51322,Ljekarnicka jedinica
Ljekarnicka JEDINICA GAJEVO-JARUN GRADSKA LJEKARNA ZAGREB,GRAD ZAGREB,ZAGREB,ULICA HRVOJA MACANOVICA 2 A,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA GALGOVO, ZDRAVSTVENA USTANOVA LJEKARNA GUDELJ - REBIC",ZAGREBACKA ZUPANIJA,GALGOVO,ZAGREBACKA CESTA 6,10435,Ljekarnicka jedinica
"Ljekarnicka JEDINICA GARESNICA LJEKARNA ""JASNA NEZIRI""",BJELOVARSKO-BILOGORSKA ZUPANIJA,GARESNICA,VLADIMIRA NAZORA 4,43280,Ljekarnicka jedinica
"Ljekarnicka JEDINICA GLINA-VUKOVARSKA LJEKARNE ""BARICEVIC""",SISACKO-MOSLAVACKA ZUPANIJA,GLINA,VUKOVARSKA ULICA 35,44400,Ljekarnicka jedinica
Ljekarnicka JEDINICA GLOGOVAC LJEKARNE SKUNCA,KOPRIVNICKO-KRIZEVACKA ZUPANIJA,GLOGOVAC,KOPRIVNICKA ULICA 4,48000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA GORICAN LJEKARNA ""POCUCA""",MEDIMURSKA ZUPANIJA,GORICAN,SKOLSKA 4,40324,Ljekarnicka jedinica
"Ljekarnicka JEDINICA GORNJA RIJEKA LJEKARNE ""JAGATIC""",KOPRIVNICKO-KRIZEVACKA ZUPANIJA,GORNJA RIJEKA,TRG SIDONIJE RUBIDO ERDÖDY 3,48268,Ljekarnicka jedinica
"Ljekarnicka JEDINICA GORNJA STUBICA, LJEKARNE ""DOGAN""",KRAPINSKO-ZAGORSKA ZUPANIJA,GORNJA STUBICA,TRG SVETOG JURJA 10,49245,Ljekarnicka jedinica
"Ljekarnicka JEDINICA GORNJA VRBA LJEKARNE ""VASE ZDRAVLJE""",BRODSKO-POSAVSKA ZUPANIJA,GORNJA VRBA,ULICA VRBSKIH ZRTAVA 125,35207,Ljekarnicka jedinica
"Ljekarnicka JEDINICA GORNJI KARIN, LJEKARNE KASTEL FARM",ZADARSKA ZUPANIJA,GORNJI KARIN,XXII ULICA 50,23452,Ljekarnicka jedinica
Ljekarnicka JEDINICA GORNJI MIHALJEVEC LJEKARNA CAKOVEC,MEDIMURSKA ZUPANIJA,GORNJI MIHALJEVEC,GORNJI MIHALJEVEC BB,40306,Ljekarnicka jedinica
"Ljekarnicka JEDINICA GOSPIC LJEKARNE ""PABLO""",LICKO-SENJSKA ZUPANIJA,GOSPIC,ULICA DR. ANTE STARCEVICA 16,53000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA GRADEC LJEKARNE ""PRIMA PHARM""",ZAGREBACKA ZUPANIJA,GRADEC,GRADEC BB,10345,Ljekarnicka jedinica
Ljekarnicka JEDINICA GRADISTE DOM ZDRAVLJA ZUPANJA,VUKOVARSKO-SRIJEMSKA ZUPANIJA,GRADISTE,BRACE RADIC 1,32273,Ambulanta doma zdravlja dislocirana jedinica
Ljekarnicka JEDINICA GRIZANSKA GRADSKA LJEKARNA ZAGREB,GRAD ZAGREB,ZAGREB,GRIZANSKA ULICA 4,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA GRUBISNO POLJE, LJEKARNA LEVATIC",BJELOVARSKO-BILOGORSKA ZUPANIJA,GRUBISNO POLJE,NIKOLE SUBICA ZRINSKOG 2,43290,Ljekarnicka jedinica
Ljekarnicka JEDINICA GRUSKA GRADSKA LJEKARNA ZAGREB,GRAD ZAGREB,ZAGREB,GRUSKA ULICA 22,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA GUNDINCI LJEKARNE ""VERONIKA FURIC""",BRODSKO-POSAVSKA ZUPANIJA,GUNDINCI,ULICA STJEPANA RADICA 2,35222,Ljekarnicka jedinica
"Ljekarnicka JEDINICA GUNDULICEVA,˛LJEKARNA ABEL&",GRAD ZAGREB,ZAGREB,GUNDULICEVA ULICA 15,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA GVOZD LJEKARNE ""LIJEK""",SISACKO-MOSLAVACKA ZUPANIJA,VRGINMOST,KRALJA PETRA SVACICA 27,44410,Ljekarnicka jedinica
Ljekarnicka JEDINICA HERCEGOVAC LJEKARNE GLAS,BJELOVARSKO-BILOGORSKA ZUPANIJA,HERCEGOVAC,MOSLAVACKA ULICA 139,43284,Ljekarnicka jedinica
Ljekarnicka JEDINICA HRASTIN PRILAZ UTRINE GRADSKA LJEKARNA ZAGREB,GRAD ZAGREB,ZAGREB,HRASTIN PRILAZ 3,10000,Ljekarnicka jedinica
Ljekarnicka JEDINICA HRVATSKA DUBICA GRADSKE LJEKARNE SISAK,SISACKO-MOSLAVACKA ZUPANIJA,HRVATSKA DUBICA,ULICA TOMISLAVA BOGICA 4,44450,Ljekarnicka jedinica
Ljekarnicka JEDINICA HRVATSKIH ISELJENIKA GRADSKA LJEKARNA ZAGREB,GRAD ZAGREB,ZAGREB,ULICA HRVATSKIH ISELJENIKA 1,10000,Ljekarnicka jedinica
Ljekarnicka JEDINICA HUM NA SUTLI LJEKARNA KRAPINSKO-ZAGORSKE zupanije,KRAPINSKO-ZAGORSKA ZUPANIJA,HUM NA SUTLI,HUM NA SUTLI 172 / 1,49231,Ljekarnicka jedinica
"Ljekarnicka JEDINICA HVAR, LJEKARNA SPLITSKO-DALMATINSKE zupanije",SPLITSKO-DALMATINSKA ZUPANIJA,HVAR,TRG SVETOG STJEPANA 15,21450,Ljekarnicka jedinica
Ljekarnicka JEDINICA I PAG LJEKARNE FARMAPHARM,ZADARSKA ZUPANIJA,PAG,ULICA STJEPANA RADICA 2,23250,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I ""LJEKARNE POPOVIC""",OSJECKO-BARANJSKA ZUPANIJA,BELISCE,ULICA KRALJA TOMISLAVA 188 A,31551,Ljekarnicka jedinica
Ljekarnicka JEDINICA I LEKARNA BOBANOVIC-VUJNOVIC,ISTARSKA ZUPANIJA,PULA,ULICA MONTE PARADISO 5 A,52100,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNA ""JOUKHADAR""",GRAD ZAGREB,ZAGREB,ILICA 229,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNA ""KASTEL FARM""",ZADARSKA ZUPANIJA,BENKOVAC,TRG K. A. STEPINCA 9,23420,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNA ""LEPES""",KRAPINSKO-ZAGORSKA ZUPANIJA,VELIKO TRGOVISCE,TRG STJEPANA I FRANJE TUDMANA 4,49214,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNA ""LUKACIN""",GRAD ZAGREB,ZAGREB,MARKUSEVECKA CESTA 185,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNA ""PAVLIC""",SISACKO-MOSLAVACKA ZUPANIJA,SISAK,ULICA FERDE HEFELEA 21,44000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNA ""SEREMET""",GRAD ZAGREB,ZAGREB,ULICA IVANA RENDICA 29,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNA ""ZUBOVIC""",BRODSKO-POSAVSKA ZUPANIJA,NOVA GRADISKA,MATIJE ANTUNA RELKOVICA 32,35400,Ljekarnicka jedinica
Ljekarnicka JEDINICA I LJEKARNA PELAIC,DUBROVACKO-NERETVANSKA ZUPANIJA,OPUZEN,MATE PECICA 7,20355,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""AVICENNA""",GRAD ZAGREB,ZAGREB,ULICA JOZE LAURENCICA 8,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""DIAKONIA""",GRAD ZAGREB,ZAGREB,VINOGRADSKA CESTA 17,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""DOMINKO""",MEDIMURSKA ZUPANIJA,PLESKOVEC,PLESKOVEC BB,40311,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""FALAK""",SPLITSKO-DALMATINSKA ZUPANIJA,MAKARSKA,ANTE STARCEVICA 112,21300,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""HAUSKA""",OSJECKO-BARANJSKA ZUPANIJA,OSIJEK,ULICA SVETOG LEOPOLDA BOGDANA MANDICA 206,31000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""HORVAT""",KOPRIVNICKO-KRIZEVACKA ZUPANIJA,LEGRAD,TRG SVETOG TROJSTVA 44,48316,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""KOVACEVIC""",SPLITSKO-DALMATINSKA ZUPANIJA,SPLIT,TRONDHEIMSKA 1,21000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""KOVACIC-PAVLINA""",SPLITSKO-DALMATINSKA ZUPANIJA,SPLIT,DOVERSKA 34,21000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""LIJEK DAKOVO""",OSJECKO-BARANJSKA ZUPANIJA,DAKOVO,PAVICEVA 24,31400,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""MEDIKOR""",GRAD ZAGREB,SESVETE,TRG LOVRE MATACICA 8,10360,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""NOVOSELAC""",VIROVITICKO-PODRAVSKA ZUPANIJA,PITOMACA,LJUDEVITA GAJA 21,33405,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""PABLO""",GRAD ZAGREB,ZAGREB,PODSUSEDSKI TRG 2,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""PALAC""",ZAGREBACKA ZUPANIJA,ZAPRESIC,ULICA DRAGE SVAJCARA 9,10290,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""PHYTO PHARMA""",SPLITSKO-DALMATINSKA ZUPANIJA,SPLIT,STEPINCEVA 18 A,21000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""PLANTAK""",VIROVITICKO-PODRAVSKA ZUPANIJA,SLATINA,BANA JELACICA 8,33520,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""PLENCA""",SIBENSKO-KNINSKA ZUPANIJA,SIBENIK,KARLA VIPAUCA 21,22000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""POLJAK-RADNIC""",BRODSKO-POSAVSKA ZUPANIJA,PODVINJE,TRG SVETOG ANTUNA BB,35107,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""VALCIC""",ZADARSKA ZUPANIJA,ZADAR,ULICA MATIJE GUPCA 2 A,23000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""VALES""",GRAD ZAGREB,ZAGREB,POLJANA ZVONIMIRA DRAZICA 6,10000,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""VALUN""",ISTARSKA ZUPANIJA,PULA,ZAGREBACKA ULICA 29,52100,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""VASE ZDRAVLJE""",ISTARSKA ZUPANIJA,UMAG,JADRANSKA ULICA - VIA DELL' ADRIATICO 22,52470,Ljekarnicka jedinica
"Ljekarnicka JEDINICA I LJEKARNE ""ZUBOVIC""",VARAZDINSKA ZUPANIJA,NOVI MAROF,ZAGREBACKA ULICA 8,42220,Ljekarnicka jedinica
Ljekarnicka JEDINICA I LJEKARNE BINGULA,ZAGREBACKA ZUPANIJA,JASTREBARSKO,VLADIMIRA VIDRICA 6,10450,Ljekarnicka jedinica
Ljekarnicka JEDINICA I LJEKARNE FILIPOVIC,GRAD ZAGREB,SESVETE,PUT DOBRISE CESARICA 1,10360,Ljekarnicka jedinica
Ljekarnicka JEDINICA I LJEKARNE GRBAVAC,SPLITSKO-DALMATINSKA ZUPANIJA,SPLIT,DUBROVACKA 57,21000,Ljekarnicka jedinica
Ljekarnicka JEDINICA I LJEKARNE KUHARIC,GRAD ZAGREB,ZAGREB,ULICA JANKA GRAHORA 15,10000,Ljekarnicka jedinica
Ljekarnicka JEDINICA I LJEKARNE MADERCIC,GRAD ZAGREB,ZAGREB,PORECKA ULICA 7 B,10000,Ljekarnicka jedinica
Ljekarnicka JEDINICA I LJEKARNE MATEJ,BRODSKO-POSAVSKA ZUPANIJA,SLAVONSKI BROD,"NASELJE ""LUTVINKA"" 2 / 5",35000,Ljekarnicka jedinica
Ljekarnicka JEDINICA I LJEKARNE PROPHARMA,GRAD ZAGREB,ZAGREB,KOLEDINECKA ULICA 4,10000,Ljekarnicka jedinica
